product_id,orders,revenue,average_price
bb50f2e236e5eea0100680137654686c,187,67606.1,327.61538461538464
d1c427060a0f73f6b889a5c7c61f2ac4,323,60976.02999999999,137.65163265306117
6cdd53843498f92890544667809f1595,151,59093.990000000005,350.8346153846154
99a4788cb24856965c36a24e339b6058,467,51071.6,88.16713114754103
d6160fb7873f184099d9bc95e30376af,35,50326.18,1397.1239999999998
3dd2a17168ec895c781a9191c1e95ad7,255,48212.22000000001,149.93649635036502
aca2eb7d00ea1a7b8ebd4e68314663af,431,44820.76,71.36413662239094
5f504b3a1c75b73d6151be81eb05bdc9,63,41725.81,598.9507936507937
25c38557cf793876c5abdd5931f922db,38,40311.950000000004,1023.8768421052631
53b36df67ebb7c41585e8d54d6772e08,306,39957.93,116.66693498452014
e0d64dcfaa3b6db5c54ca298ae101d05,194,35344.09,163.849587628866
422879e10f46682990de24d770e7f83d,352,34201.26,54.91161157024796
d285360f29ac7fd97640bf0baef03de0,122,33607.57,257.10414634146343
f1c7f353075ce59d8a6f3cf58f419c9c,150,33316.759999999995,194.78805194805196
7a10781637204d8d10485c71a6108a2e,142,32790.74,213.0594405594406
f819f0c84a64f02d3a5606ca95edd272,45,30449.690000000002,644.9884444444444
588531f8ec37e7d5ff5b7b22ea0488f8,19,29080.210000000003,1414.5994999999998
389d119b48cf3043d311335e499d9c6b,311,28682.680000000004,54.695382653061245
a62e25e09e05e6faf31d90c6ec1aa3d1,172,27998.299999999996,106.42035398230088
368c6c730842d78016ad823897a372db,291,27984.4,54.27010309278352
